Ly6C,B220
1486.6,78868.7
26722.6,57568.4
1169.84,62725.9
135235,4880.29
1734.55,52790.4
730.248,45634.3
2069.75,3888.47
1457.9,87550.8
39935.9,61893.4
272.979,25406.7
218654,2200.13
124733,2379.26
2160.12,2995.74
3195.19,72680.2
714.647,44924.1
1251.25,104672
2825.13,39135.1
8196.59,90138.6
5867.76,4346.5
10237.1,9579.46
2331.08,25970
2220.08,15411.2
1199.75,68499.8
184842,1571.78
7917.73,85266.9
1275.19,69537.1
2508.04,58398.7
1747.02,9300.17
1343.93,88069.4
750.459,76038.8
13844.6,63506.5
788.749,68155.5
13746.5,9610.77
1021.72,113755
1572.64,68960.6
144934,5883.42
3010.93,68501.9
3814.78,45768.7
1267.73,66769.8
1230.41,42152.2
1139.74,47601.5
1729.36,62524.2
140230,1050.47
6522.98,8922.72
43063.9,4299.95
145.259,107469
916.545,58568
3278.36,88535.2
970.523,49490
695.656,48587
2245.34,60648.4
6105.92,20418.9
3576.03,4247.24
1525.67,84335.6
4136.99,10793
1975.12,50298.9
3536.3,5959.28
72489.2,1696.01
7858.52,1589.76
802.839,75171.8
3429.5,99177.2
114678,5172.52
936.401,26796.1
1706.89,133619
191346,3209.22
5099.71,117642
18074.5,2454.19
2108.03,43676.5
1250.39,67795.1
2309.96,131787
3264.56,11616.8
1004.09,30930.1
20241.6,12541.3
889.364,10717.4
1095.32,78851.6
103984,1484.7
327.951,41072.3
306.683,58428.7
1434.68,73730.7
116468,11737.7
166876,1700.93
1132.17,68416.9
2543.11,85163.2
1520.57,53129.7
781.497,52096
1128.42,86039.9
2090.64,1373.74
9917.34,79361.9
1176.84,65315.8
4003.17,91016.8
1561.66,81177.8
2220.5,123031
2729.78,9403.12
3515.3,92993.3
1736.9,70733.1
29489.8,132317
1013.18,49101.4
2703.48,67332.7
105997,2751.87
1844.01,64579.1
1546.69,79704.9
2400.6,98756.5
4606.14,56275.4
134124,2724.18
1017.64,40687.9
784.715,61985.3
973.662,39447.9
204281,25357.8
298200,4547.69
1204.69,92322.9
4472.51,67476.2
113798,4888.24
1749.65,75791.4
2394.52,70715.8
673.989,58072.1
133772,1519.74
1003.09,62375.9
1648.87,69842.5
4224.34,92215.9
945.866,70387.4
1553.85,80675.7
1084.83,42787.5
32314.2,58374.3
798.697,26176.1
987.144,55997.5
2970.73,74204.1
1029.07,17505.1
994.472,61293.7
168322,1868.26
249069,4718.33
1948.32,18990.5
180420,2416.94
1615.23,80826.9
1834.76,4199.37
1525.43,47716.3
1774.8,95830.6
3138.54,121959
2297.46,103923
1609.35,67081.2
342003,3696.61
200319,2829.68
1669.28,64445.2
2572.46,69042.1
944.318,104712
305824,38889.8
1404.32,75311.8
5029.24,106412
2615.01,87206.1
1976.91,80825.1
129425,8149.89
778.094,81093
503141,2652.05
71824.2,9928.9
882.017,54993
110048,1006.05
545.283,33157.2
3933.3,38240.3
1119.89,50849.8
821.419,54075.7
5888.65,53867.4
79728.9,2646.17
8203.9,7857.84
718.829,80141
1269.47,62598.8
227567,13365.5
184202,2312.5
1465.6,77833
1238.73,71585.7
2696.39,62075.6
2969.24,67014
2044.27,51433.7
150718,6973.46
4416.1,60175.8
72546.3,5298.72
790.271,74598.9
128590,510.119
124464,15607.8
2212.62,76516.7
183155,2911.46
9444.66,3814.36
389.146,68570.8
2033.67,15337.8
1175.8,92836.2
82132.7,7127.13
73664,1752.59
2457.89,144392
107810,3978.21
921.342,60492.4
764.065,4203.46
949.187,71239.1
260541,4007.95
2039.48,19474.6
3356.42,115646
57539.1,82229.2
4195.26,36927
144314,3457.9
9353.07,2950.33
69595.9,6090.01
469.499,71512.6
67632.1,471.291
2669.88,81374.6
719.04,52571.9
1020.34,57159.9
3983.41,10562
2450.96,28172.7
1043.25,100820
701.75,58520.6
1344.21,85362.7
3375.47,10805.2
2405.92,13306.4
909.329,59491.1
3234.49,16152.5
647.833,77852.8
81507.7,20281.5
1706.28,63247.7
721.357,61278.3
12220.3,77706.7
1262.94,8228.61
2072.36,3008.36
9245.68,82619.2
1332.41,88190.6
859.132,99377.3
2208.54,63231.8
1877.8,121769
1267.73,69020.5
1117.84,81695.8
972.271,61537.5
68.7297,60105.4
93174.1,2601.9
543.241,79344
2208.66,71500.8
1270.55,52600.8
744.428,33102.1
36385.1,1433.83
1471.9,55494.3
98129.6,2276.22
2099.8,69162.7
196774,9934.26
642.715,62630.2
658.698,43170.1
27366.7,2681.01
2413.55,3244.91
1762.98,30531.1
1302.78,69075.5
43183.2,87296
228895,3951.69
1606.77,67385
159270,17033.4
8820.16,67431
133098,1468.13
3616.72,33092.8
1220.58,56125.8
1301.93,72225
1056.53,58213.7
2337.98,45330.8
2354.48,28914.2
193722,6615.47
555.163,90619.4
1225.05,72960.8
102940,3218.63
915.281,81851.7
1326.96,75946
1017.9,59136.4
2122.95,122923
3405.9,40580.2
3306.4,5231.67
2611.94,40516.1
89019.2,2831.7
1332.06,80296.8
13585.7,10696.1
878.833,73114.6
2611.23,66966.9
1194.03,59292.2
1015.43,60210.1
1560.94,63006.5
2323.52,11367.5
759.038,48939.7
1124.05,58139.5
558.456,71798.2
2526.26,53340.9
17302.1,203475
86350.2,2233.02
3171.83,82820.3
913.803,45778.5
310.645,53921.8
1248.19,56185.6
2091.13,12903.5
1227.25,5303.81
2374.33,54155
203205,1669.99
1065.11,81686.9
1135.95,89719.5
2570.9,5506.29
1235.27,78368.5
2011.47,136472
172623,3079.39
1634.79,38943.6
70748.7,15810.8
2071.11,9835.87
1373.21,17498.9
1619.84,54798.7
1579.9,59052.4
161771,1934.92
1272,50974.4
1744.18,68517.3
130550,14931.5
751.353,40329.4
455.145,107197
1661.38,45983.7
1373.31,61617.4
1016.6,77310.5
16435.5,10542
7882.96,16875.8
181323,5565.15
1812.35,36929
110477,7294.19
994.06,69696.9
992.606,95741.7
1080.78,66364.2
144408,1781.9
1038.51,52192.4
3097.11,67707.7
1425.68,46013.2
710.051,37639.1
1929.91,70184.2
693.476,71700.4
1254.36,90087.4
413.94,88722.8
150.936,57075.8
12603.1,2555.42
3194.51,78304.5
698.222,60662.1
633.92,79254.6
5325.06,17489.9
1052.42,90045
5214.86,2926.68
1427.14,78721.4
34812.1,4653.91
89210.9,175.601
2146.27,84786.1
175224,1432.29
605.93,50526
44829.2,5331.88
804.263,53259.5
4182.78,73587
1337.91,91914
629.991,75606.4
2454.45,51662.8
517.325,70460.1
4251.03,135783
107212,792.676
1643.87,10635.1
765.829,53760.1
8305.56,74287.8
1664.39,101800
1741.65,19595.4
2025.7,131114
4426.42,64042.6
1314.27,71509.9
111277,1691.65
161515,4150.86
41.6945,100631
1072.67,78851.8
1163.67,82087.6
1956.84,84291.4
159931,6418.77
951.796,81867.1
601.217,56657
590.532,65326.9
588.495,80140.7
409201,1293.71
1108.49,70253.4
1581.45,52686.9
3833.45,11809.4
213763,3468.51
271.471,59678.8
984.784,49437.1
39254.9,2343.14
1392.33,52470.5
883.328,40780
