Ly6C,B220
0,65.4263
4239.93,4.8138
725.495,1.20658
0,184.818
29.6917,411.694
0.538717,349.228
0,9.22422
14.901,0
16.6468,283.093
5056.34,5.07239
3731.9,4.87639
873.624,28.517
11.2953,400.748
0,686.368
22.1274,603.739
3670.42,15.154
11.9074,223.131
0,152.847
252.414,1.85439
6.87844,244.095
0,301.719
62.5983,35.1952
2977.96,7.90716
13.1566,270.269
0,749.416
22.0974,169.293
17.6368,33.3306
3.1385,465.891
2315.33,15.4473
221.791,1.40093
23.2601,3.88494
0,380.339
16.5231,171.02
18.0919,350.929
16.8582,212.02
1386.82,11.2001
2208.13,697.506
0,291.848
22.7048,229.656
2098.04,0
611.539,285.185
9.75316,62.13
12.0423,866.422
10.8289,369.348
1591.72,25.4266
9.25423,36.4763
0,478.724
39.1947,6.06193
0,171.224
561.082,71.135
6310.23,3.07065
26.1986,617.918
4.68262,243.044
0,465.382
3013.88,111.633
2.01667,221.916
32.1811,257.434
18.6042,191.659
0,247.494
0,338.552
29.6489,420.976
78.4658,575.367
1514.49,304.865
22.4347,279.787
1621.14,9.1202
4.19285,188.645
23.8504,231.413
4.13649,465.23
0.498749,93.6818
0.717515,284.998
72.9064,1.24258
6379.59,4.77171
2073.59,0
0,311.891
4.53718,251.339
2.87545,224.792
15.1169,13.2118
3.34556,309.328
0,161.078
2611.32,84.5474
2807.02,2.8918
5.25096,24.4596
3.39951,25.9028
4.64495,192.099
5.02103,373.637
8.58806,290.191
4611.4,3.34957
0,230.29
0,303.85
4.06071,6.5878
27.2293,189.203
1640.7,2.54617
5.41389,725.113
6.54149,201.872
13.6965,3.75057
11.7591,468.979
15.2107,133.727
33.7087,517.107
0,486.411
13.4161,220.714
2.51954,320.409
0,144.694
0,149.214
0,7.07662
0,494.987
0,195.026
0,712.934
14.9957,327.448
3979.3,0
6052.21,0
21.5395,170.671
869.566,25.5805
20.968,0
886.393,0
3.16084,61.3735
3133.42,2.49747
2041.86,13.5305
1746.99,14.2736
0,332.607
10.7044,99.1053
1.67759,197.096
0,536.505
8.50897,207.248
13.7405,15.3866
18.8993,311.781
23.2496,180.073
10.8281,261.996
32.7775,10.6352
0,457.483
0.0064825,117.964
214.963,35.9263
1.204,187.148
6.57084,13.0923
1333.91,3.49386
33.8005,6.17267
2.58263,364.15
0,43.5639
1.6452,739.659
0,196.281
0,275.129
0,300.019
0,234.909
0,1.31072
12.9764,166.245
3066.06,0.738725
172.306,9.7807
3031.39,7.93956
87.462,302.131
34.9185,59.0646
7.75218,144.25
3.04176,250.657
378.523,9.4636
80.308,55.1681
25.9615,7.72874
99.0822,31.6993
17.9485,43.1313
0,255.663
2441.29,0
8.70718,630.689
0,802.64
0,304.403
0,34.0818
0,637.501
2788.89,1.62218
215.454,5.09152
0,586.109
69.6594,263.941
1.62297,0.616603
5.196,351.164
2495.06,0.354168
1.35744,46.5057
24.0767,257.328
20.5418,642.09
4708.21,0
21.408,348.294
0,283.939
8.3928,394.907
3571.58,9.61342
1.85305,42.1253
0.560878,226.184
0,60.6678
7.10148,734.356
2899.18,17.2333
23.4131,355.915
0,76.5704
3704.12,7.5301
65.0609,205.798
0,166.15
0,384.522
2770.83,5.23815
0,337.15
0.108198,0.766957
6.08381,263.514
2128.58,8.42533
1.22007,208.924
1054.29,2.55005
0,789.406
2764.32,4.84004
153.488,296.844
12.0684,62.5794
5.69325,193.268
2726.36,8.11291
0,209.873
1.33295,228.558
7.01917,683.026
88.8127,18.9705
15.3887,93.0699
2465.41,4.85945
7.93199,254.626
0,353.315
2956.53,8.1335
