Ly6C,B220
9433.86,3067.52
82.5657,6398.25
145.721,4654.95
348.736,30.3029
92.8434,6884.18
170.189,1747.17
1683.38,275.231
8512.22,105.322
5104.63,216.567
332.429,9270.27
130.035,5306.77
33856.6,198.506
28159.9,229.481
3099.31,398.826
956.596,432.466
75.8901,6590.77
21802.7,98.9473
3131.07,-16.892
19.7807,5654.02
88.7677,3597.56
537.103,11002.2
154.147,265.429
92.5419,4846.84
809.541,151.717
6635.8,279.191
116.114,5736.24
115.888,5024.74
186.725,8024.75
43.9253,3839.71
10186.2,70.3804
549.956,330.988
221.666,7310.7
226.716,5710.01
35337.4,254.262
15180.4,498.138
106.228,10512.7
513.085,34.4038
120.426,9084.07
520.604,10328
411.545,5449.63
177.366,5949.51
93.3694,6702.92
150.898,4424.27
671.577,71.6771
1884.15,-71.6766
417.101,2449.64
147.331,6164.34
406.718,269.601
547.793,11012.4
26270.5,231.001
443.2,6692.4
453.911,123.503
85.4347,1379.68
199.69,5643.17
62.7549,2717.56
3285.63,98.191
136.429,7669.82
13062,69.3649
846.166,526.817
497.719,1898.83
168.804,5142.97
21.6059,3574.13
2235.06,6267.22
26068.6,135.566
211.959,9182.52
220.921,6528.83
154.786,175.041
139.777,6885.71
-16.038,2359.74
-53.0583,4527.3
138.954,4017.6
9264.98,511.572
219.371,6005.05
74.4136,6539.01
13960.7,1462.37
147.347,6115.78
167.279,7354.46
74.6514,174.369
31.5113,2902.46
11635.2,87.5156
11594.1,-7.02479
17.3606,4558.4
394.2,6598.75
142.436,4878.52
189.601,-8.3931
1556.43,8431.71
16494,189.349
206.994,729.077
150.49,4276.31
178.564,5358.22
317.258,6480.59
17.6604,7882.43
375.347,3100.31
144.677,8327.3
190.708,498.694
243.533,7468.77
43.5143,5640.23
50.8321,2713.11
243.359,14.2054
226.215,5925.42
14440.7,217.247
896.439,10956.7
329.817,6225.24
56.6011,5297.58
231.195,932.76
188.234,795.229
153.237,5831.47
32213.8,330.842
22811.1,182.181
216.463,11584.5
150.232,6226.87
220.934,-114.375
172.877,5582.68
198.243,4646.44
162.786,5527.83
191.221,6552.93
204.162,5718.54
24903.8,3.04256
220.866,4143.98
4115.73,246.243
43540.6,238.876
270.46,11188.2
437.684,9999.82
58621.3,403.258
478.167,6710.23
213.06,6661.09
102.797,2775.14
20644.7,273.819
101.998,5249.65
27.9944,5871.89
145.225,5205.28
17550,140.906
309.712,248.229
172.897,114.799
146.437,956.825
74.5533,6675.32
148.449,4849.25
-1.62691,4445.85
23659.2,121.506
-40.7067,5596.83
84.6244,6723.34
166.663,3241.19
178.86,5306.5
189.931,4623.81
155.503,5440.13
4713.68,352.156
109.623,4109.35
146.324,3608.83
594.006,4910.63
203.667,2889.76
138.655,10811
250.86,3521.65
-37.9894,4439.05
204.038,4199.51
188.815,13327.6
237.225,3437.45
415.218,4574.17
384.001,11251.6
2609.39,10052.7
74.1538,4743
28464.9,213.578
145.014,5249.4
5829.57,3036.69
62.6752,7115.74
1195.94,6403.85
427.985,13746.2
134.711,5677.97
17605.9,134.881
80.0725,4525.05
212.121,4118.69
27573.7,240.965
160.11,7849.79
216.025,138.374
5558.04,94.701
363.043,187.813
11420.5,93.7418
17383.6,80.0532
88.4182,6181.66
79.1799,3236.82
90.9304,5823.06
552.247,3687.38
100.994,1107.97
126.372,3984.52
39.6713,5394.23
111.006,9388.01
850.409,4863.35
254.279,387.77
225.06,5263.6
553.784,560.471
164.254,103.01
555.93,5296.86
21.3682,5650.62
41959.8,319.443
-9.44046,4135.07
11610.1,169.625
2987.18,10011.2
308.527,8812.48
443.305,3657.36
19852.6,132.821
242.126,81.6201
444.66,4117.47
402.767,19696.8
-8.12234,4130.11
138.579,3309
536.817,4014.62
119.336,7342.91
23647.6,270.089
-22.5505,7176.35
148.423,9945.56
94.9264,5836.99
2219.01,37.8468
30590,1249.61
113.892,39.7864
99.0347,7682.68
174.494,363.997
67.1125,6069.5
148.734,6398.55
-9.37431,2787.83
408.559,5278.45
36.2729,4918.29
161.251,7849
113.133,6031.14
82.1782,4162.93
20983.2,163.194
5838.62,16.8189
226.957,138.17
306.153,204.263
255.911,5021.47
16830.2,87.0431
89.2536,3430.81
5159.82,79.9703
26231.1,56.3345
12434.2,29.09
653.527,553.536
284.821,221.031
102.284,6431.41
35.2912,4375.11
-17.563,6636.49
13471.8,40.6427
157.18,5392.84
548.104,4702.08
187.727,7668
